Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year,Women_Percentage_Out_Of_All_Women,Standardized_Occupational_Category,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title,2018 SOC Code,2018 SOC Title,Standardized_Occupation_Name
Broadcast sound and lighting technicians,70890,5319.0,64821,5124.0,6069,1285.0,8.6,1.8,61992,2245,63222,3644,56296,8681,(X),(X),2022,0.012248647915976012,broadcast sound and lighting technicians,,,,,
Photographers,89594,5380.0,52381,4064.0,37213,3587.0,41.5,3.0,48595,3444,52014,2840,41408,3505,79.6,8.2,2022,0.07510445458843554,photographers,27-4021.00,Photographers,27-4021,Photographers,photographers
Television video and film camera operators and editors,64131,4333.0,51814,3818.0,12317,1807.0,19.2,2.5,62337,3882,61917,4620,64202,13589,103.7,25,2022,0.024858559298249552,television video and film camera operators and editors,,,,,
Media and communication equipment workers all other,1467,754.0,1365,745.0,102,172.0,7.0,12.0,80282,25488,80614,18529,-,**,-,**,2022,0.00020585962883993295,media and communication equipment workers all other,27-4099.00,"Media and Communication Equipment Workers, All Other",27-4099,"Media and Communication Equipment Workers, All Other",media and communication equipment workers all other
Healthcare Practitioners and Technical Occupations,7555731,50499.0,2062441,26725.0,5493290,44448.0,72.7,0.3,76047,324,95762,1244,72119,346,75.3,1.1,2022,11.086731769707013,healthcare practitioners and technical occupations,,,,,
Chiropractors,49704,4410.0,35647,3398.0,14057,2426.0,28.3,3.8,85446,4577,91442,4579,64268,12983,70.3,14.4,2022,0.028370282378460173,chiropractors,29-1011.00,Chiropractors,29-1011,Chiropractors,chiropractors
Dentists,107523,5716.0,73136,5224.0,34387,3269.0,32.0,2.8,186740,6751,200421,9596,158308,4805,79,4.7,2022,0.06940093193057623,dentists,,,,,
Dietitians and nutritionists,75139,5020.0,8822,1629.0,66317,5101.0,88.3,2.2,63255,1383,59936,7465,63446,1360,105.9,12.5,2022,0.1338430686840964,dietitians and nutritionists,29-1031.00,Dietitians and Nutritionists,29-1031,Dietitians and Nutritionists,dietitians and nutritionists
Optometrists,31705,2960.0,18464,2200.0,13241,1761.0,41.8,4.1,129937,3430,140450,10479,123300,5158,87.8,8.1,2022,0.02672340534774071,optometrists,29-1041.00,Optometrists,29-1041,Optometrists,optometrists
Pharmacists,270137,9815.0,116667,5979.0,153470,6961.0,56.8,1.5,130580,1238,136253,2235,128132,1146,94,1.8,2022,0.3097380121378874,pharmacists,29-1051.00,Pharmacists,29-1051,Pharmacists,pharmacists
Emergency medicine physicians,13170,2196.0,9687,1884.0,3483,886.0,26.4,5.8,"250,000+",***,"250,000+",***,"250,000+",***,(X),(X),2022,0.007029500855387122,emergency medicine physicians,29-1214.00,Emergency Medicine Physicians,29-1214,Emergency Medicine Physicians,emergency medicine physicians
Radiologists,18299,2252.0,14413,2054.0,3886,1224.0,21.2,6.1,"250,000+",***,"250,000+",***,"250,000+",***,(X),(X),2022,0.007842848212470386,radiologists,29-1224.00,Radiologists,29-1224,Radiologists,radiologists
Other physicians,733169,16095.0,441514,12720.0,291655,10116.0,39.8,1.1,234274,4333,"250,000+",***,206401,4215,(X),(X),2022,0.5886273534246143,other physicians,,,,,
Surgeons,51238,3230.0,40456,3113.0,10782,1766.0,21.0,3.2,"250,000+",***,"250,000+",***,"250,000+",***,-,***,2022,0.02176057370737409,surgeons,,,,,
Physician assistants,128908,6267.0,46373,3337.0,82535,5443.0,64.0,2.3,121105,2835,135113,4293,115573,2046,85.5,2.8,2022,0.16657474966964575,physician assistants,29-1071.00,Physician Assistants,29-1071,Physician Assistants,physician assistants
Physician assistants,128908,6267.0,46373,3337.0,82535,5443.0,64.0,2.3,121105,2835,135113,4293,115573,2046,85.5,2.8,2022,0.16657474966964575,physician assistants,29-1071.01,Anesthesiologist Assistants,29-1071,Physician Assistants,physician assistants
Podiatrists,11024,1996.0,8400,1435.0,2624,1009.0,23.8,6.6,158263,18829,157855,27462,161157,31402,(X),(X),2022,0.00529583986349004,podiatrists,29-1081.00,Podiatrists,29-1081,Podiatrists,podiatrists
Audiologists,16664,2011.0,2473,821.0,14191,1881.0,85.2,4.6,87161,3804,102026,18288,86087,4098,(X),(X),2022,0.028640725420269495,audiologists,29-1181.00,Audiologists,29-1181,Audiologists,audiologists
Occupational therapists,104462,6864.0,14335,2364.0,90127,6215.0,86.3,2.0,77984,2092,93640,6848,76619,1066,81.8,6.1,2022,0.1818971643966337,occupational therapists,29-1122.00,Occupational Therapists,29-1122,Occupational Therapists,occupational therapists
Occupational therapists,104462,6864.0,14335,2364.0,90127,6215.0,86.3,2.0,77984,2092,93640,6848,76619,1066,81.8,6.1,2022,0.1818971643966337,occupational therapists,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",29-1122,Occupational Therapists,occupational therapists
Physical therapists,208175,8224.0,87749,5022.0,120426,5879.0,57.8,1.7,86325,885,93258,1522,82476,1148,88.4,2,2022,0.24304756532037025,physical therapists,29-1123.00,Physical Therapists,29-1123,Physical Therapists,physical therapists
Radiation therapists,9758,1423.0,2711,700.0,7047,1352.0,72.2,6.9,88149,6819,96035,6730,81293,3461,(X),(X),2022,0.014222478474853015,radiation therapists,29-1124.00,Radiation Therapists,29-1124,Radiation Therapists,radiation therapists
Recreational therapists,8910,1641.0,1930,668.0,6980,1451.0,78.3,6.7,47108,5698,60696,2626,44525,6468,(X),(X),2022,0.014087256953948354,recreational therapists,29-1125.00,Recreational Therapists,29-1125,Recreational Therapists,recreational therapists
Respiratory therapists,96545,5275.0,36278,3628.0,60267,3603.0,62.4,2.7,73880,1422,81234,2617,71223,2006,87.7,3.7,2022,0.12163276716957098,respiratory therapists,29-1126.00,Respiratory Therapists,29-1126,Respiratory Therapists,respiratory therapists
Speechlanguage pathologists,129314,6622.0,7358,1440.0,121956,6292.0,94.3,1.1,73224,1327,82439,13548,72470,1488,87.9,13.8,2022,0.24613545975296927,speechlanguage pathologists,29-1127.00,Speech-Language Pathologists,29-1127,Speech-Language Pathologists,speechlanguage pathologists
Exercise physiologists,5742,1291.0,2673,891.0,3069,1032.0,53.4,12.4,50313,3341,52080,8395,46671,3986,(X),(X),2022,0.00619395295009563,exercise physiologists,29-1128.00,Exercise Physiologists,29-1128,Exercise Physiologists,exercise physiologists
Therapists all other,157845,8222.0,30299,3823.0,127546,7548.0,80.8,2.2,59513,1494,61237,1818,58782,1780,96,4.3,2022,0.2574173747060597,therapists all other,29-1129.00,"Therapists, All Other",29-1129,"Therapists, All Other",therapists all other
Therapists all other,157845,8222.0,30299,3823.0,127546,7548.0,80.8,2.2,59513,1494,61237,1818,58782,1780,96,4.3,2022,0.2574173747060597,therapists all other,29-1129.01,Art Therapists,29-1129,"Therapists, All Other",therapists all other
Therapists all other,157845,8222.0,30299,3823.0,127546,7548.0,80.8,2.2,59513,1494,61237,1818,58782,1780,96,4.3,2022,0.2574173747060597,therapists all other,29-1129.02,Music Therapists,29-1129,"Therapists, All Other",therapists all other
Veterinarians,78560,4934.0,28990,2812.0,49570,3876.0,63.1,2.8,121562,4946,134325,7502,115521,3885,86,5.3,2022,0.10004374315289682,veterinarians,29-1131.00,Veterinarians,29-1131,Veterinarians,veterinarians
Registered nurses,2607050,26174.0,359266,11563.0,2247784,24676.0,86.2,0.4,78932,621,84879,1651,77582,628,91.4,2,2022,4.536548823062155,registered nurses,29-1141.00,Registered Nurses,29-1141,Registered Nurses,registered nurses
Registered nurses,2607050,26174.0,359266,11563.0,2247784,24676.0,86.2,0.4,78932,621,84879,1651,77582,628,91.4,2,2022,4.536548823062155,registered nurses,29-1141.01,Acute Care Nurses,29-1141,Registered Nurses,registered nurses
Registered nurses,2607050,26174.0,359266,11563.0,2247784,24676.0,86.2,0.4,78932,621,84879,1651,77582,628,91.4,2,2022,4.536548823062155,registered nurses,29-1141.02,Advanced Practice Psychiatric Nurses,29-1141,Registered Nurses,registered nurses
Registered nurses,2607050,26174.0,359266,11563.0,2247784,24676.0,86.2,0.4,78932,621,84879,1651,77582,628,91.4,2,2022,4.536548823062155,registered nurses,29-1141.03,Critical Care Nurses,29-1141,Registered Nurses,registered nurses
Registered nurses,2607050,26174.0,359266,11563.0,2247784,24676.0,86.2,0.4,78932,621,84879,1651,77582,628,91.4,2,2022,4.536548823062155,registered nurses,29-1141.04,Clinical Nurse Specialists,29-1141,Registered Nurses,registered nurses
Nurse anesthetists,36383,3224.0,16431,2099.0,19952,2688.0,54.8,4.9,202182,2989,208895,6217,197523,6979,94.6,4.5,2022,0.04026775798641512,nurse anesthetists,29-1151.00,Nurse Anesthetists,29-1151,Nurse Anesthetists,nurse anesthetists
Nurse midwives,5152,1132.0,0,210.0,5152,1132.0,100.0,3.5,127540,6860,-,**,127540,6860,-,**,2022,0.010397929488071908,nurse midwives,29-1161.00,Nurse Midwives,29-1161,Nurse Midwives,nurse midwives
Nurse practitioners,223275,7434.0,29247,2913.0,194028,6744.0,86.9,1.2,116044,1349,127337,3635,114981,1486,90.3,2.9,2022,0.3915934516132796,nurse practitioners,29-1171.00,Nurse Practitioners,29-1171,Nurse Practitioners,nurse practitioners
Acupuncturists,9171,1537.0,3162,832.0,6009,1245.0,65.5,7.3,64995,9165,69136,15996,62294,9678,(X),(X),2022,0.012127554016658404,acupuncturists,29-1291.00,Acupuncturists,29-1291,Acupuncturists,acupuncturists
Healthcare diagnosing or treating practitioners all other,5346,1319.0,1429,811.0,3917,1170.0,73.3,13.3,45932,9296,96354,91503,44128,9752,(X),(X),2022,0.007905413393784484,healthcare diagnosing or treating practitioners all other,29-1299.00,"Healthcare Diagnosing or Treating Practitioners, All Other",29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",healthcare diagnosing or treating practitioners all other
Healthcare diagnosing or treating practitioners all other,5346,1319.0,1429,811.0,3917,1170.0,73.3,13.3,45932,9296,96354,91503,44128,9752,(X),(X),2022,0.007905413393784484,healthcare diagnosing or treating practitioners all other,29-1299.01,Naturopathic Physicians,29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",healthcare diagnosing or treating practitioners all other
Healthcare diagnosing or treating practitioners all other,5346,1319.0,1429,811.0,3917,1170.0,73.3,13.3,45932,9296,96354,91503,44128,9752,(X),(X),2022,0.007905413393784484,healthcare diagnosing or treating practitioners all other,29-1299.02,Orthoptists,29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",healthcare diagnosing or treating practitioners all other
Clinical laboratory technologists and technicians,269700,7881.0,80377,5217.0,189323,6525.0,70.2,1.6,54331,1059,57720,3330,52635,1387,91.2,6,2022,0.3820976716751238,clinical laboratory technologists and technicians,,,,,
Dental hygienists,86924,4786.0,6767,1391.0,80157,4842.0,92.2,1.6,69959,2237,104097,19154,68169,2335,(X),(X),2022,0.1617753947933579,dental hygienists,29-1292.00,Dental Hygienists,29-1292,Dental Hygienists,dental hygienists
Cardiovascular technologists and technicians,39541,3198.0,14883,2040.0,24658,2838.0,62.4,4.5,61786,4032,83642,12875,51279,3805,61.3,9.8,2022,0.049765556156226146,cardiovascular technologists and technicians,29-2031.00,Cardiovascular Technologists and Technicians,29-2031,Cardiovascular Technologists and Technicians,cardiovascular technologists and technicians
Diagnostic medical sonographers,71695,4525.0,18023,2154.0,53672,3960.0,74.9,2.6,80488,2074,100457,8424,77120,1766,76.8,6.5,2022,0.10832252940291061,diagnostic medical sonographers,29-2032.00,Diagnostic Medical Sonographers,29-2032,Diagnostic Medical Sonographers,diagnostic medical sonographers
Radiologic technologists and technicians,180681,7749.0,62667,4497.0,118014,5845.0,65.3,1.9,64935,1415,72316,2804,62137,1125,85.9,3.8,2022,0.2381795905678024,radiologic technologists and technicians,29-2034.00,Radiologic Technologists and Technicians,29-2034,Radiologic Technologists and Technicians,radiologic technologists and technicians
Magnetic resonance imaging technologists,45143,3530.0,20322,2496.0,24821,2289.0,55.0,3.6,82175,3995,89959,10298,78825,3115,87.6,11,2022,0.05009452791603898,magnetic resonance imaging technologists,29-2035.00,Magnetic Resonance Imaging Technologists,29-2035,Magnetic Resonance Imaging Technologists,magnetic resonance imaging technologists
Nuclear medicine technologists and medical dosimetrists,29248,3310.0,15768,2323.0,13480,2048.0,46.1,4.9,104231,8129,114031,18087,99444,12736,87.2,17,2022,0.027205762713355845,nuclear medicine technologists,29-2033.00,Nuclear Medicine Technologists,29-2033,Nuclear Medicine Technologists,nuclear medicine technologists
Nuclear medicine technologists and medical dosimetrists,29248,3310.0,15768,2323.0,13480,2048.0,46.1,4.9,104231,8129,114031,18087,99444,12736,87.2,17,2022,0.027205762713355845,medical dosimetrists,29-2036.00,Medical Dosimetrists,29-2036,Medical Dosimetrists,medical dosimetrists
Emergency medical technicians,101055,6874.0,59902,4918.0,41153,3949.0,40.7,2.7,42511,1022,44647,1537,39461,2347,88.4,6.2,2022,0.08305628731029177,emergency medical technicians,29-2042.00,Emergency Medical Technicians,29-2042,Emergency Medical Technicians,emergency medical technicians
Paramedics,96527,5960.0,67216,4797.0,29311,3589.0,30.4,3.0,66001,1718,69149,2428,60973,1784,88.2,4,2022,0.05915638804830661,paramedics,29-2043.00,Paramedics,29-2043,Paramedics,paramedics
Pharmacy technicians,289611,9835.0,69767,5330.0,219844,8347.0,75.9,1.6,39142,693,41503,912,38225,852,92.1,3,2022,0.4436961200263355,pharmacy technicians,29-2052.00,Pharmacy Technicians,29-2052,Pharmacy Technicians,pharmacy technicians
Psychiatric technicians,68054,5031.0,18300,2606.0,49754,4323.0,73.1,3.3,38620,1432,42302,2675,36858,914,87.1,5.6,2022,0.10041509777747083,psychiatric technicians,29-2053.00,Psychiatric Technicians,29-2053,Psychiatric Technicians,psychiatric technicians
Surgical technologists,76188,5256.0,18850,2788.0,57338,4332.0,75.3,3.0,52349,1384,60028,3752,50748,1530,84.5,5.7,2022,0.11572136665121643,surgical technologists,29-2055.00,Surgical Technologists,29-2055,Surgical Technologists,surgical technologists
Veterinary technologists and technicians,120134,6104.0,12632,2123.0,107502,5871.0,89.5,1.7,36428,645,41083,2706,36111,696,87.9,6.4,2022,0.2169639394073576,veterinary technologists and technicians,29-2056.00,Veterinary Technologists and Technicians,29-2056,Veterinary Technologists and Technicians,veterinary technologists and technicians
Dietetic technicians and ophthalmic medical technicians,29782,3230.0,6155,1269.0,23627,3126.0,79.3,4.2,34896,2291,37646,6524,34290,3037,(X),(X),2022,0.04768475931961859,dietetic technicians,29-2051.00,Dietetic Technicians,29-2051,Dietetic Technicians,dietetic technicians
Dietetic technicians and ophthalmic medical technicians,29782,3230.0,6155,1269.0,23627,3126.0,79.3,4.2,34896,2291,37646,6524,34290,3037,(X),(X),2022,0.04768475931961859,ophthalmic medical technicians,29-2057.00,Ophthalmic Medical Technicians,29-2057,Ophthalmic Medical Technicians,ophthalmic medical technicians
Licensed practical and licensed vocational nurses,434662,13769.0,49962,5016.0,384700,12695.0,88.5,1.1,50437,671,54220,2287,50039,802,92.3,3.8,2022,0.7764137177913942,licensed practical and licensed vocational nurses,29-2061.00,Licensed Practical and Licensed Vocational Nurses,29-2061,Licensed Practical and Licensed Vocational Nurses,licensed practical and licensed vocational nurses
Medical records specialists,165261,7614.0,14853,2104.0,150408,7132.0,91.0,1.2,48402,986,62677,5127,47679,971,76.1,6.6,2022,0.3035581868093788,medical records specialists,29-2072.00,Medical Records Specialists,29-2072,Medical Records Specialists,medical records specialists
Opticians dispensing,46656,3699.0,14721,1878.0,31935,3179.0,68.4,3.5,45338,1318,52925,4002,42558,1802,80.4,7,2022,0.06445222791179667,opticians dispensing,29-2081.00,"Opticians, Dispensing",29-2081,"Opticians, Dispensing",opticians dispensing
Miscellaneous health technologists and technicians,122797,7639.0,43480,4651.0,79317,5698.0,64.6,2.8,47177,2281,57628,4193,43235,1691,75,6.2,2022,0.1600800802029114,miscellaneous health technologists and technicians,,,,,
Other healthcare practitioners and technical occupations,89704,6066.0,29886,3352.0,59818,5037.0,66.7,3.1,61051,2404,65991,6921,59509,3601,90.2,10.7,2022,0.12072658115634421,other healthcare practitioners and technical occupations,,,,,
